ID,左上X座標,左上Y座標,右下X座標,右下Y座標,横幅,縦幅,拡大率
bar_playerHpBack_1,140,60,466,100,326,40,1
bar_playerHpBack_2,140,60,793,100,653,40,1
bar_playerHpBack_3,140,60,1130,100,980,40,1
bar_playerHp_1,144,64,456,94,316,30,1
bar_playerHp_2,144,64,783,94,643,30,1
bar_playerHp_3,144,64,1124,94,970,30,1
bar_playerGaugeBack_1,150,105,379,141,229,36,1
bar_playerGaugeBack_2,150,105,608,141,458,36,1
bar_playerGaugeBack_3,150,105,838,141,688,36,1
bar_playerGauge_1,154,109,373,135,219,26,1
bar_playerGauge_2,154,109,604,135,448,26,1
bar_playerGauge_3,154,109,832,135,678,26,1
bar_playerGaugeCircle,30,30,174,174,144,144,1
bar_playerGaugeMax,34,34,160,160,126,126,1
bar_enemyHpBack,0,0,0,0,43,8,1
bar_enemyHp,0,0,0,0,42,6,1
menu_bg,0,0,0,0,1920,1080,1
cursor_select,40,100,426,305,145,100,1
cursor_menu,75,260,800,360,700,100,1
